OUT_EXP_DE
EXPOSICAO AO TABACO           
HERBICIDA                     
MERCURIO                      
AGROTOXICOS                   
FORMOLDEIDO                   
ESFORCO REPETITIVO            
"GASOLINA,ALCOOL,SOLVENTES     "
"POEIRA DE CIMENTO,CAL/MADEIRA "
AGROTOXICOS                   
RAIOS SOLORES                 
POEIRA E TINTA                
INSUMOS AGRICOLAS             
INSETICIDAS AGRICOLAS         
INSUMOS AGRICOLAS             
INSUMOS AGRICOLAS             
INSUMOS AGRICOLAS             
PRODUTOS QUIMICOS DE LIMPEZA  
RADIACAO ELETROMAGNETICA NAO I
"AGROTOXICOS EM GERAL,FUMACAS  "
POEIRA DE TECIDOS E ALGODAO   
"POEIRA DE CIMENTO,SOL         "
RADIACAO SOLAR                
DESCONHECIDO                  
EXPOSICAO SOLAR DIRETA        
"AGROTOX.TORDON,ALDRIN,RANDAPE "
COMBUSTIVEIS                  
RAIOS ULTRA VIOLETA           
RADIACAO ULTRAVIOLETA         
RAIOS ULTRA VIOLETA CIMENTO CA
"RANDAPE,INSOLACAO             "
AGROTOXICO                    
OLEOS E PETROLEOS             
TRANSPORTE/ SERVICO           
PIGMENTOS TEXTEIS             
RADIACAO SOLAR (TRAB. EXTERNO)
RADIACOES SOLARES             
RADIACAO SOLAR                
"SOL,POEIRA                    "
RAIOS ULTRAVIOLETAS INSETICIDA
RAIOS ULTRAVIOLETA PROD QUIMIC
"PO DE COURO,GASES EMITIDOS PO "
AGUARRAS                      
AGROTOXICOS                   
RADIACAO ULTRAVIOLETA         
RADIACAO SOLAR                
DIESEL                        
RADIACAO SOLAR                
FUMOS METALISOS DE SOLDA      
RAIOS ULTRAVIOLETA E INSETICID
RAIOS ULTRAVIOLETA HERBICIDA  
EXPOSICAO EXCESSIVA AO SOL    
RADIACAO ULTRAVIOLETA: RADIACA
RADIACAP SOL                  
RAIOS SOLARES                 
AGROTOXICOS                   
"POEIRA SILICA,BENZOPIRENO     "
AGROTOXICO ( ORGANOFOSFORO)   
AGROTOXICOS                   
AGROTOXICOS ORGANOFOSFORADOS  
FUMOS                         
VARIOS TIPOS DE AGROTOXICOS   
RADIACAO SOLAR                
RADIACAO SOLAR                
"TINTA,CIMENTO.                "
AGROTOXICOS ( ORGANOFOSFORADOS
RAIOS ULTRAVIOLETA PRO. QUIMIC
RADIACAO ULTRAVIOLETA         
RADIACAO SOLAR                
FORMALDEIDO E PRODUTO QUIMICO 
TOLUNEO E XILENO              
RADIACAO SOLAR                
POEIRA DE MADEIRA.            
"CALOR,SOL,CHUVA               "
CALOR SOL                     
POEIRAS DIVERSAS              
RELACIONADO AS ATIVIDADES PROF
CALOR FRIO ERGONOMICO         
CALOR FRIO VENTO ERGONOMICO   
SOL FRIO CALOR                
POEIRA DE TECIDO              
AGROTOXICO EVIDENCE           
"OXIDO DE ZINCO,PO DE CIMENTO, "
RAIOS SOLARES                 
AGROTOXICOS                   
RADIACAO SOLAR                
SOL                           
CALOR SOL FRIO ERGONOMICO     
AGROTOXICOS                   
RADIACAO SOLAR                
RADIACAO SOLAR                
CARVAO                        
RADIACAO SOLAR                
METAIS (BATERIAS)             
AGROTOXICOS                   
HERBICIDAS                    
"AGROTOXICOS,POEIRAS           "
AGROTOXICOS                   
"TINTAS,VERNIZ,SOLVENTES       "
TRIPIDACAO DO CAMINHAO        
 AGROTOXICOS                  
"POEIRA,CIMENTO                "
POEIRA                        
"POEIRA ,CIMENTO               "
"PNEUS DE BORRACHA,GASOLINA    "
AGROTOXICOS                   
AGROTOXICOS                   
LUZ SOLAR                     
"TINTA INDUSTRIAL,CHUMBO,      "
"PO DE CIMENTO,CAL,MADEIRA     "
AGROTOXICO                    
AGROTOXICO                    
AGROTOXICO                    
AGROTOXICO                    
AGROTOXICOS                   
AGROTOXICOS                   
AMBIENTAL                     
"GASES,METAL PESADO            "
RISCO COMBIENTAL.             
FORMALDEIDA / TINTURA CABELO  
"FORMALDEIDO,TINTURA CABELO    "
AGROTOXICOS                   
BARRO/AGROTOXICOS             
RAIOS ULTRAVIOLETAS(SOL)      
RISCOS AMBIENTAIS             
SOLVENTE                      
SOL                           
BORRACHA                      
AGROTOXICOS                   
AGROTOXICO                    
GASES DE MOTOR DE ONIBUS      
AGROTOXICOS                   
SOL                           
RADIACAO SOLAR PESTICIDAS     
"GRAXA,OLEO,QUEROSENE,TINTAS   "
AGROTOXICOS                   
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
"AGROTOXICOS,POEIRA DE CIMENTO "
RADIACAO SOLAR                
RADIACAO SOLAR - POEIRA       
AGROTOXICOS                   
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
AGROTOXICOS                   
POEIRA DE CIMENTO             
POEIRA DE TECIDOS             
POEIRA DE CIMENTO/CAL/MADEIRA 
AGROTOXICOS                   
AGROTOXICO                    
RADIACAO ULTRA VIOLETA        
POEIRAS ORGANICAS             
RADIACAO SOLAR                
"HERBICIDAS,FUNGICIDAS,INSETI  "
RADIACAO SOLAR                
FUMACA DE CARVAO              
FORMOL                        
AGROTOXICO                    
POEIRA DE FIOS DE LA          
FUMOS METALICOS               
FORMOL CIMENTO                
SOL                           
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
LUZ SOLAR                     
LUZ SOLAR                     
"POEIRA DE CAL,MADEIRA,CIMENT  "
SOL EXCESSIVO/ SODA CAUSTICA  
RADIACAO SOLAR/ULTRAVIOLETA   
RADIACAO SOLAR                
AGROTOXICOS                   
EXPOSICAO SOLAR INTENSA/ CALOR
EXPOSICAO SOLAR               
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
LUZ SOLAR                     
RADIOCAO ULTRA VIOLETA        
RADIACAO ULTRA VIOLETA        
RADIACAO  ULTRA E INSETICIDA  
"POEIRA,AREIA,ASFALTO.         "
NPK                           
EXPOSICAO SOLAR               
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO ULTRAVIOLETA         
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
SOL                           
RADIACAO SOLAR                
PO DE MADEIRA                 
"AREIA,POEIRA,CIMENTO.         "
RADIACAO SOLAR                
"SOL,POEIRA                    "
LUZ SOLAR                     
LUZ SOLAR                     
SOL                           
S01/ R. NAO IONIZANTES        
AGROTOXICOS                   
AGROTOXICOS                   
"AREIA,ASFALTO.                "
SOL                           
"SOL,POEIRA,FERTILIZANTES.     "
"POEIRA,AGROTOXICOS            "
PRODUTOS QUIMICOS             
"TINTAS,PO DE PINTURA,COMBUST  "
RADIACAO SOLAR                
"METAIS PESADOS,GASES          "
GRAXA                         
GASES DA COMBUSTAO DE MOTOR   
"SOLDA,MACARICO,TINTAS/TINNER  "
"METAIS PESADOS,GASES          "
POLUICAO ATMOSFERICA          
"TINTS,SOLVENTES,GRAXA,MASSA   "
SOL                           
EXPOSICAO AO SOL NA AGRICULTUR
"AGROTOXICOS ,CALOR E FUMACA   "
EXPOSICAO SOLAR               
CIMENTO                       
"POEIRA,CIMENTO                "
"AGROTOXICOS:HERBICIDA,INSETIC "
RADIACAO SOLAR                
"RANDAPE,UREIA,COBRE,ENXOFRE   "
SOLVENTES                     
EXPOSICAO SOLAR               
"SOL,POEIRA                    "
GLIFOSATO                     
FUMACA FORNO A LENHA          
SOL                           
EXPOSICAO RAIOS ULTRA VIOLETA 
"CIMENTO,POEIRA                "
RADIACAO SOLAR                
AGROTOXICOS                   
AGROTOXICOS                   
RADIACAO SOLAR                
"CARVAO,METAL,                 "
AGROTOXICOS                   
"TINER,TINTA AUTOMOTIVAS,PO F  "
PO DE  CIMENTO                
SOLVENTE                      
"TINTAS ,SOLVENTES. LM SOLUSPA "
AGROTOXICOS                   
RAIOS SOLARES                 
"AGROTOXICOS,RADIACAO SOLAR    "
POEIRA  DE METAL              
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS/RADIACAO SOLAR    
"AGROTOXICOS: HERBICIDAS,INSET "
"FORMALDEIDO,SOLVENTE,RESINAS, "
"AMONIA,ENXOFRE,UREIA,ETC      "
RADIACAO SOLAR                
AGROTOXICOS ROUND UP          
"AGROTOXICOS,RADIACAO SOLAR    "
"AGROTOXICOS,RADIACAO SOLAR    "
POEIRA DA CONSTRUCAO CIVIL    
AC. NITRICO                   
AGROTOXICOS DIVERSOS          
CALCIUM CARBONATES            
RADIACAO ULTRAVIOLETA         
POEIRA DE CIMENTO             
EXP. AOS RAIOS ULTRAVIOLETAS  
"FERRO. ALUMINIO,CALCARIO. RAD "
RADIACAO ULTRAVIOLETA RADIACAO
RADIACAO SOLAR                
EXPOSICAO AO SOL              
RAIOS ULTRAVIOLETA            
RAIOS ULTRAVIOLETA            
RAIOS ULTRAVIOLETAS           
SOL                           
EXPOSICAO AO SOL              
EXPOSICAO A ORGANOCLORADOS    
RADIACAO ULTRA VIOLETA        
RADIACAO SOLAR                
AGROTOX LAV. CAFE RAD. ULTA   
"POEIRA DE METAL,ALUMINIO      "
MONOXIDO DE CARBONO           
"AGROTOX.HERBICIDAS,FUNGICIDAS "
RADIACAO ULTRA VIOLETA        
INSETICIDAS/LARVICIDAS        
AGROTOXICOS                   
"CIMENTO,TINTA,POEIRA          "
AGROTOXICOS                   
AGROTOXICOS                   
POEIRA DE MADEIRA             
PRODUTOS DE SOLDA             
POEIRA DE CONSTRUCAO          
POEIRA DE CONSTRUCAO          
AGROTOXICO                    
PO DE TECIDO/CORANTES         
AGROTOXICOS                   
CHUMBO                        
"AGROTOXICOS: HERBECIDAS,INSET "
TINTA                         
RAIOS SOLARES                 
"OLEO DE MOTOR,GASOLINA        "
"POEIRA DE COURO,FORMALDEIDO   "
TINTAS E DERIVADOS            
RAIOS SOLARES                 
EXPOSICAO SOLAR               
POEIRA DE TECIDOS             
RADIACAO ULTRA VIOLETA        
"ULTRA VIOLETA,                "
RAD.ULTRAVIOLETA              
RADIACAO SOLAR                
AGROTOXICOS                   
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACOES SOLARES             
AGROTOXICOS                   
AGROTOXICO GLIFOSATO          
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICOA AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
ESCORIACAO AO SOL             
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSIAO AO SOL               
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
RADIACAO ULTRA VIOLETA        
SOL                           
EXPOSICAO AO SOL              
TRABALHO NOTURNO              
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
TANATOFLUIDOS                 
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
AGROTOXICOS                   
SOLAR                         
SOLVENTES                     
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
LUZ SOLAR                     
LUZ SOLAR                     
RADIACAO SOLAR                
RADIACAO SOLAR                
AGROTOXICOS                   
AGROTOXICOS                   
EXPOSICAO SOLAR               
TRABALHO NOTURNO              
TETRA CLOROETILENO            
FUMO PASSIVO DE TABACO        
TRABALHO NOTURNO              
AGROTOXICOS                   
TRABALHO NOTURNO              
TRABALHO NOTURNO              
TRABALHO NOTURNO              
"OLIACRILICO,ACRILICO-ESTIRENO "
AGROTOXICOS                   
AGROTOXICOS VARIADOS          
SOL                           
RADIACAO UV                   
RADIACOES ULTRAVIOLETA        
TABACO                        
EXPOSICAO AO SOL              
FORMICIDOL E ALDRIN TC        
CALOR E SOL                   
RADIACAO SOLAR/ AGROTOXICOS   
RADIACAO SOLAR/ AGROTOXICOS   
 EXPOSICAO A LUZ SOLAR        
EXPOSICAO SOLAR               
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
AGROTOXICOS                   
RADIACAO SOLAR                
EXPOSICAO SOLAR               
POEIRA E FUMACA               
FUMOS DE SOLDA                
GASES DA COMBUSTAO DE VEICULOS
AGROTOXICOS                   
RADIACAO SOLAR                
RADIACAO SOLAR                
EXPOSICAO SOLAR               
EXPOSICAO A RAIOS ULTRAVIOLETA
RADIACAO SOLAR                
RADIACAO SOLAR / UV           
RADIACAO SOLAR / UV           
PO DE MEDEIRA E CIMENTO       
SOL                           
SOL                           
SOL E PRODUTOS QUIMICOS       
AGROTOXICOS                   
TRABALHO NOTURNO              
TRABALHO NOTURNO              
AGROTOXICOS                   
VAPORES DE COMBUSTIVEIS FOSSEI
VAPRES DE COMBUSTIVEIS FOSSEIS
ASFALTO                       
POEIRA DA CONSTRUCAO CIVIL    
TRABALHO NOTURNO              
HERBICIDA                     
AGROTOXICOS                   
OLEO/PETROLEO                 
AGROTOXICOS                   
HERBICIDAS                    
POEIRA DA CONSTRUCAO CIVIL    
FUMACA DO TABACO              
"SOL,POEIRA                    "
"SOL,POEIRA                    "
SOL                           
SOL                           
SOL                           
"TINTAS,GASOLINA,TINNER        "
SOL                           
PEDREIRA                      
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO UV SOLAR             
AGROTOXICOS                   
"POEIRA DE CIMENTO,CAL         "
GASES DA COMBUSTAO DE VEICULOS
RADIACAO SOLAR                
RADIACAO SOLAR                
RADIACAO SOLAR                
AGROTOXICOS                   
"ALVEJANTES,AMACIANTES,SABAO.  "
POEIRA DE CIMENTO             
AGROTOXICOS - CABAMATOS       
SOL                           
SOL                           
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
GASES COMBUSTAO DE MOTORES    
EXPOSICAO SOLAR               
EXPOSICAO SOLAR               
EXPOSICAO SOLAR               
GASES DE COMBUSTIVEL          
AGROTOXICOS ORGANOFOSFORADOS  
"POEIRA,CIMENTO E CAL          "
"GASOLINA,TINTA,VERNIZ         "
"POEIRAS,METAIS PESADOS        "
AGROTOXICOS                   
METAIS PESADOS                
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS ORGANOFOSFORADOS  
AGROTOXICOS                   
EXPOSICAO SOLAR               
AMINOBEFENIL                  
RADIACAO SOLAR                
GROTOXICO (CARLOFURANO)       
AGROTOXICOS                   
"POENRA DE CIMENTO,CAL         "
"AGRICULTOR,LUZ,SOLAR          "
"AGROTOXICOS AZODRIM,BHC       "
AGROTOXICOS                   
AGROTOXICOS                   
SOL                           
SOL                           
SOL                           
AGROTOXICOS                   
"TINTA ,SOLVENTE               "
INSETICIDAS E HPA             
RADIACAO SOLAR                
OUTROS TIPOS DE AGROTOXICOS   
RADIACAO SOLAR                
AGROTOXICO                    
POEIRA DE CIMENTO             
EXPOSICAO SOLAR               
EXPOSICAO SOLAR               
"RADIACAO SOLAR,HERBICIDA      "
EXPOSICAO SOLAR               
EXPOSICAO SOLAR               
GASES DA COMBUSTAO DE MOTORES 
COMPOSTOS ORGANICOS VOLATEIS  
"POEIRA DE CIMENTO,SOL         "
 PO E  FUMACA DE EMPRESA CIDER
RAIO SOLAR                    
SOL                           
SOL                           
PESTICIDAS PARA AGRICULTURA   
FUMOS DE SOLDA                
PO E TINTA                    
"POEIRA DE GIZ ,TINHA CONTATO  "
AGROTOXICO                    
CALCETEIRO                    
SOL                           
INSUMOS USADOS NA AGRICULTURA 
INSUMOS PARA AGRICULTURA      
INSUMOS PARA AGRICULTURA      
RADIACAO SOLAR                
RADIACAO SOLAR                
INSUMOS PARA AGRICULTURA      
INSUMOS PARA AGRICULTURA      
RADIACAO SOLAR                
"TRAB NOTURNO,PROD LIMPEZA     "
POLIPROPILENO E ADITIVOS      
EXPOSICAO A RADIACAO SOLAR    
GASES DE MOTOR DE VEICULOS    
"MEDICMENTOS,TRB TURNOS        "
"POEIRA DE CIMENTO,CAL,ETC     "
EXPOSICAO A RADIACAO SOLAR    
GASES DE MOTOR DE VEICULOS    
AGENTES QUIMICOS              
GASES DE COMBUSTAO DE MOTOR   
PRODUTOS QUIMICOS             
AGROTOXICOS                   
"AGROTOXICOS,SOL               "
VAPORES DE MOTORES A COMBUSTAO
EXPOSICAO SOLAR               
"PO DE MADEIRA,RADIACAO SOLAR, "
TRABALHO NOTURNO              
TRABALHO NOTURNO              
EXPOSICAO A RADIACAO SOLAR    
TETRACLOROETILENO             
TRABALHO NOTURNO              
TRABALHO NOTURNO              
"POEIRADE ENTULHO,AREIA,TERRA  "
TRABALHO NOTURNO              
"AGROTOXICOS,HERBICIDAS        "
CAMPOS ELETROMAGNETICOS       
AGROTOXICO E SOL              
AGROTOXICO E SOL              
AGROTOXICO E SOL              
COMPOSTOS ORGANICOS           
AGROTOXICO E SOL              
AGROTOXICO E SOL              
AGROTOXICO E SOL              
AGROTOXICO E SOL              
SOL                           
AGROTOXICOS                   
TRABALHO NOTURNO              
TRABALHO NOTURNO              
BIFENIL (POLICLORADOS)        
OLEOS E PETROLEO              
AGROTOXICO E SOL              
"AGROTOXICO,SOL E POEIRA       "
"METALICOS,BENZENO,PVC         "
AGROTOXICOS                   
POEIRA DE METAIS              
PETROLEO                      
"ORGANOFOSFORADOS,RAIOS UVA    "
EMISSAO DE VAPORES DIESEL     
TRABALHO NOTURNO              
POEIRA DA CONSTRUCAO CIVIL    
RADIACAO SOLAR                
SOLVENTES                     
TRABALHO NOTURNO              
EXPOSICAO SOLAR               
AGROTOXICOS                   
"TINTAS ,SOLVENTES ORGANICOS   "
AGROTOXICOS                   
AMALGAMA                      
COMPOSTOS ORGANICOS VOLATEIS  
HERBICIDAS                    
AGROTOXICOS                   
AGROTOXICOS                   
EXPOSICAO A RADIACAO SOLAR    
COMPOSTOS ORGANICOS VOLATEIS  
PLASTICO                      
GRAXA                         
AGROTOXICOS                   
"OLEO DE CORTE,POEIRA DE METAL "
"CAL,CIMENTO,SOLVENTES         "
"SOLVENTES,CAL CIMENTO         "
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS. DDT              
AGROTOXICOS                   
"RADIACAO SOLAR,CIMENTO,       "
AGROTOXICOS                   
AGROTOXICOS                   
SOLVENTES                     
"BARRAGEM,NEGOVON,GLIFAGEM     "
SODA CAUSTICA PEROX DE HIDROGE
CIMENTO                       
"AGROTOXICOS,DDT               "
"AGROTOXICOS,DDT. HERBICIDAS   "
COMPOSTOS ORGANICOS VOLATEIS  
"MONOXIDO CARBONO,RADIACAO ULT "
CHUMBO                        
AGROTOXICOS                   
"DDT,AGROTOXICOS               "
EXPOSICAO A RADIACAO SOLAR    
"POEIRA DE ENTULHO,DE CORTE DE "
EXPOSICAO A RADIACAO SOLAR    
EXPOSICAO A RADIACAO SOLAR    
EXPOSICAO A RADIACAO SOLAR    
EXPOSICAO A RADIACAO SOLAR    
EXPOSICAO SOL                 
"CIMENTO,TERRA,AREIA,BRITA,    "
AGROTOXICOS/ PSTICIDAS        
SOLVENTES                     
OMOFOSFORADO GRANULADO ALFACIP
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICOS                   
EXPOSICAO SOLAR EXCESSIVA     
EXPOSICAO SOLAR RAIOS ULTRAVIO
EXPOSICAO SOLAR INTENSA       
EXPOSICAO SOLAR INTENSA       
EXPOSICAO SOLAR INTENSA       
EXPOSICAO SOLAR INTENSA       
AGROTOXICOS                   
SOLVENTES                     
POEIRA DE CONSTRUCAO CIVIL    
"EXPOSICAO SOLAR,CALCARIO,CAL  "
EXPOSICAO SOLAR INTENSA       
PINTURA E POIRA               
FALTA DE PROTETOR SOLAR       
TRICLORETILENO                
AGROTOXICOS                   
FALTA DE EPI E PROTETOR SOLAR 
 HERBICIDAS  INSETICIDAS SOLVE
"OXIDO ETILENO,COLA            "
"POEIRA DE ENTULHO,CIMENTO,    "
"TINTA,CORANTE,SOLVENTE,       "
COMPOSTOS ORGANICOS VOLATEIS  
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICO                    
SOLVENTES                     
CHUMBO                        
TRABALHO NOTURNO              
CHUMBO '                      
AGROTOXICO                    
EXASTAO MOTO DIESEL           
RADIACAO SOLAR                
"COMPOSTO DE COLA,SOLVENTE E P "
SOLVENTE                      
AGROTOXICOS                   
TRABALHO NOTURNO              
"SOLVENTE,COLA,TJINNER,PO DE   "
AGROTOXICOS P FUMO            
IRRADIACAO SOLAR              
EXPOSICAO DIRETA AO SOL       
POEIRA DA CONSTRUCAO CIVIL    
.                             
FUMACA DE TABACO              
POEIRA DE MADEIRA             
TRABALHO NOTURNO              
TRABALHO NOTURNO              
TRABALHO NOTURNO              
TETRACLOROETILENO             
AGROTOXICOS                   
HERBICIDAS                    
ESTIRENO                      
TRABALHO NOTURNO              
EMISSAO DE VAPORES DE DIESEL  
EXPOSICAO SOLAR               
"POEIRA MADEIRA,FUMACA TABACO  "
TRABALHO NOTURNO              
POEIRA DE CEREAIS             
EMISSAO DE VAPORES DIESEL     
TRABALHO NOTURNO              
ARSENICO                      
TRABALHO NOTURNO              
FUMO E POEIRA METAIS          
TRABALHO NOTURNO              
TRABALHO NOTURNO              
AGROTOXICOS                   
AGROTOXICOS                   
TRABALHO NOTURNO              
VAPORES DE COMBUSTIVEIS FOSSEI
AGROTOXICOS                   
TRABALHO NOTURNO              
TETRACLOROETILENO             
VAPORES DE COMBUSTIVEIS FOSSEI
AGROTOXICOS                   
TETRACLORODIBENZO             
HERBICIDAS                    
AGROTOXICO/FULIGEM            
CHUMBO E LATAO                
VAPOR DE CONSTRUCAO CIVIL     
TRABALHO NOTURNO              
TRABALHO NOTURNO              
TRABALHO NOTURNO              
TRABALHO NOTURNO              
EMISSAO DE VAPORES DIESEL     
VAPORES DE COMBUSTIVEIS FOSSEI
TRABALHO NOTURNO              
FUMIGANTES                    
OLEO DE XISTO E ORTOARSENICAIS
MONOXIDOS DE CARBONO ETC.     
AGROTOXICOS DOMINO E TORDON   
TRABALHO NOTURNO              
AGROTOXICOS                   
OLEO DE XITO E ORTOARSENICAIS 
COBALTO E OXIDO DE FERRO      
EXPOSICAO SOLAR               
RAIOS ULTRAVIOLETAS           
AGROTOXICO                    
AGROTOXICOS                   
RADIACAO ULTRAVIOLETA         
RAIOS ULTRAVIOLETAS           
AGROTOXICOS                   
POEIRA DE CONSTRUCAO CIVIL    
"AGROTOXICOS,POEIRA DE MADEIRA "
POEIRA DA CONSTRUCAO CIVIL    
TRABALHO NOTURNO              
"OXIDO ETILENO,PESTICIDA       "
RADIACAO ULTRAVIOLETA         
TRABALHO NOTURNO              
LUZ SOLAR                     
EXPOSICAO SOLAR               
"TINTURA,PRODUTOS DE ALISAMENT "
AGROTOXICOS                   
"METAIS PESADOS,GASES          "
SOLDA METAL                   
"OXIDO ETILENO,BENZINA,RISCOS  "
RADIACAO SOLAR                
SOL                           
POEIRA DE MAT DE CONTRUCAO    
AGROTOXICOS                   
AGROTOXICOS                   
RAIOS ULTRAVIOLETAS           
"AGROTOXICO,TRABALHO NOTURNO   "
POEIRA DE CIMENTO             
EXPOSICAO SOLAR               
"FERRO,AREIA E CIMENTO         "
AGROTOXICOS                   
GESSO                         
POEIRA E TINTA                
AGROTOXICO                    
"HERBICIDAS,TABACO             "
HERBICIDAS                    
OLEO DE XISTO E ORTORSENICAIS 
OLEO DE XISTO E ORTORSENICAIS 
"AGROTOXICOS,PETROLEO,OLEO     "
